name,gender,department,cpi,section,project,group,allocated_preference,preferences
Aditya Reddy,male,CL,7.09,1,1,1,99,"[99, 11, 45, 6, 14, 2]"
Gaurav Ghosh,male,ME,8.7,1,1,1,94,"[94, 21, 67, 17, 16, 52]"
Meera Nambiar,male,CL,9.02,1,1,1,86,"[86, 24, 49, 16, 10, 44]"
Abhishek Tiwari,male,CL,7.2,1,1,1,97,"[97, 20, 67, 18, 13, 50]"
Anita Chakraborty,male,ME,8.0,1,1,1,99,"[99, 5, 79, 27, 9, 49]"
Amitabh Reddy,female,ME,7.37,1,1,1,90,"[90, 19, 74, 19, 5, 52]"
Raj Khanna,male,CL,8.02,1,1,2,91,"[91, 7, 82, 15, 12, 33]"
Lata Prasad,male,CL,7.09,1,1,2,98,"[98, 6, 79, 12, 11, 40]"
Diya Reddy,male,ME,7.83,1,1,2,95,"[95, 22, 75, 19, 13, 70]"
Sonal Solanki,male,ME,8.31,1,1,2,96,"[96, 20, 57, 16, 9, 21]"
Simran Agarwal,male,ME,7.48,1,1,2,86,"[86, 6, 76, 16, 12, 1]"
Ajay Bhattacharya,female,ME,7.27,1,1,2,87,"[87, 15, 73, 14, 11, 49]"
Kabir Gautam,male,CL,7.75,1,1,3,90,"[90, 27, 57, 16, 7, 72]"
Rajat Kulkarni,male,CL,8.94,1,1,3,100,"[100, 16, 89, 21, 5, 11]"
Akash Khandelwal,male,ME,7.88,1,1,3,88,"[88, 23, 68, 16, 14, 47]"
Ananya Desai,female,ME,8.71,1,1,3,89,"[89, 22, 47, 15, 13, 60]"
Anika Roy,male,ME,7.32,1,1,3,96,"[96, 16, 87, 11, 15, 50]"
Ishita Pande,male,ME,8.47,1,1,3,93,"[93, 17, 53, 17, 2, 40]"
Rekha Pillai,male,CL,7.21,1,1,4,94,"[94, 21, 65, 18, 10, 44]"
Neelam Dubey,female,CL,7.75,1,1,4,96,"[96, 33, 76, 18, 14, 54]"
Anita Sinha,male,ME,7.27,1,1,4,96,"[96, 6, 63, 15, 9, 26]"
Harsh Malhotra,male,ME,8.23,1,1,4,90,"[90, 22, 56, 19, 1, 55]"
Smita Saxena,male,ME,8.52,1,1,4,91,"[91, 12, 52, 13, 5, 76]"
Neetu Mathur,male,ME,8.49,1,1,4,100,"[100, 13, 81, 15, 9, 72]"
Manish Tiwari,male,CL,7.8,1,1,5,87,"[87, 8, 62, 16, 3, 60]"
Maya Nair,male,ME,7.22,1,1,5,91,"[91, 18, 64, 20, 6, 36]"
Ramesh Dutta,male,ME,8.4,1,1,5,91,"[91, 1, 68, 10, 15, 44]"
Sameer Mehta,male,ME,8.87,1,1,5,89,"[89, 20, 51, 12, 7, 52]"
Manish Ghosh,male,CL,9.02,1,1,5,90,"[90, 13, 40, 14, 11, 74]"
Rajesh Suresh,female,ME,8.82,1,1,5,98,"[98, 6, 56, 7, 3, 49]"
Simran Roy,female,CL,8.02,1,2,1,29,"[67, 29, 78, 15, 2, 69]"
Anjali Verma,male,ME,8.14,1,2,1,39,"[89, 39, 49, 17, 6, 43]"
Tanvi Choudhury,male,CL,7.47,1,2,1,29,"[85, 29, 72, 6, 14, 77]"
Anika Nair,male,ME,7.93,1,2,1,28,"[62, 28, 63, 12, 7, 62]"
Neha Dutta,male,ME,7.71,1,2,1,35,"[64, 35, 51, 11, 15, 61]"
