name,gender,rollNumber,cpi,department,preferences
Rekha Sengupta,female,23B3909,8.29,CL,"[95, 39, 67, 14, 26, 48]"
Ramesh Sinha,male,23B0976,7.09,CL,"[93, 27, 70, 17, 14, 50]"
Manish Tiwari,male,23B0629,6.48,CL,"[73, 34, 69, 5, 21, 89]"
Maya Nair,male,23B3915,9.43,ME,"[75, 13, 64, 12, 0, 35]"
Abhishek Bhatia,male,23B2118,9.45,ME,"[78, 17, 95, 2, 24, 37]"
Rohan Dasgupta,male,23B0687,8.64,ME,"[81, 34, 64, 18, 5, 44]"
Maya Bhatt,female,23B0641,8.6,CL,"[71, 28, 93, 11, 17, 78]"
Akash Mukherjee,male,23B0387,6.52,CL,"[75, 24, 65, 10, 12, 72]"
Vishal Mathur,male,23B3919,7.39,CL,"[81, 9, 95, 17, 11, 34]"
Siddharth Joshi,male,23B2452,6.59,ME,"[80, 38, 94, 5, 1, 71]"
Manish Khandelwal,male,23B4201,7.7,ME,"[77, 25, 67, 5, 4, 54]"
Anika Dubey,male,23B4221,6.86,ME,"[96, 31, 96, 15, 21, 51]"
Simran Dasgupta,female,23B2481,6.77,CL,"[96, 0, 81, 2, 23, 100]"
Alka Nambiar,male,23B0444,6.25,CL,"[71, 14, 70, 11, 31, 17]"
Simran Pillai,male,23B2157,7.94,CL,"[84, 17, 76, 1, 9, 30]"
Swati Reddy,male,23B1065,8.4,ME,"[95, 6, 94, 18, 29, 71]"
Rahul Yadav,male,23B2187,8.35,ME,"[91, 10, 73, 19, 16, 62]"
Bhavna Kapoor,male,23B1054,9.05,CL,"[84, 35, 84, 14, 29, 46]"
Rekha Pillai,male,23B3957,9.49,CL,"[91, 5, 74, 1, 31, 5]"
Aditi Kumar,male,23B1825,8.29,CL,"[92, 32, 68, 5, 1, 61]"
Kunal Karthik,female,23B0303,7.7,CL,"[75, 39, 86, 14, 16, 91]"
Kartik Kumar,male,23B3901,6.38,ME,"[90, 25, 62, 9, 25, 94]"
Kabir Chawla,male,23B2276,7.29,ME,"[76, 12, 75, 7, 1, 33]"
Manish Sinha,male,23B2474,8.17,ME,"[81, 38, 64, 0, 28, 47]"
Ramesh Singh,male,23B2174,9.73,CL,"[95, 3, 99, 13, 23, 29]"
Sachin Desai,male,23B1812,6.37,CL,"[89, 23, 91, 16, 4, 11]"
Mohit Suresh,female,23B1078,8.54,CL,"[75, 15, 82, 12, 21, 79]"
Siddhi Singh,male,23B1842,6.64,ME,"[83, 34, 71, 17, 16, 83]"
Manish Sethi,male,23B2505,6.33,ME,"[99, 28, 99, 3, 9, 37]"
Ramesh Dutta,male,23B1544,6.2,ME,"[72, 39, 85, 15, 12, 47]"
Kabir Gautam,male,23B2197,6.18,CL,"[92, 0, 88, 13, 15, 83]"
Rahul Mahajan,male,23B0003,7.69,CL,"[87, 12, 73, 10, 31, 50]"
Shreya Choudhury,female,23B0952,9.39,CL,"[88, 36, 87, 8, 7, 56]"
Vikas Chakraborty,male,23B2139,6.29,ME,"[74, 39, 80, 17, 9, 18]"
Sneha Mehta,male,23B2253,8.82,ME,"[92, 17, 84, 9, 26, 85]"
Kunal Sood,male,23B2719,6.79,ME,"[95, 4, 93, 2, 20, 49]"
Tarun Raman,male,23B0699,8.06,CL,"[94, 2, 80, 8, 17, 57]"
Ishita Bhattacharya,male,23B2416,7.22,CL,"[78, 4, 76, 3, 0, 60]"
Sachin Reddy,female,23B2124,6.85,CL,"[84, 4, 84, 4, 18, 19]"
Arjun Desai,male,23B1308,6.14,ME,"[85, 36, 68, 8, 20, 84]"
Manish Das,male,23B4209,6.65,ME,"[87, 9, 65, 6, 3, 76]"
Kabir Menon,female,23B1019,8.98,ME,"[77, 2, 98, 10, 12, 3]"
Harsh Shukla,male,23B1073,6.77,CL,"[82, 11, 73, 9, 2, 73]"
Isha Pandey,male,23B1008,8.36,CL,"[79, 31, 79, 5, 7, 53]"
Anita Mathur,female,23B1035,6.6,CL,"[97, 23, 91, 3, 23, 31]"
Neelam Bhardwaj,male,23B1826,9.16,ME,"[93, 30, 93, 17, 12, 14]"
Maya Mukherjee,male,23B2162,7.75,ME,"[96, 40, 99, 8, 16, 33]"
Smita Menon,male,23B0698,8.95,ME,"[96, 10, 71, 15, 11, 39]"
Prakash Choudhury,male,23B2123,7.06,CL,"[81, 20, 62, 3, 9, 51]"
Pooja Khandelwal,male,23B1507,6.21,CL,"[77, 25, 97, 7, 5, 12]"
Meera Jha,female,23B2261,9.93,CL,"[78, 29, 70, 2, 27, 66]"
Ramesh Karthik,male,23B0076,9.19,ME,"[78, 13, 89, 5, 33, 94]"
Ramesh Malhotra,male,23B1242,9.69,ME,"[89, 33, 64, 9, 6, 59]"
Divya Reddy,male,23B1069,9.83,ME,"[79, 24, 82, 14, 16, 64]"
Prakash Vyas,male,23B3019,9.45,CL,"[76, 8, 94, 7, 30, 13]"
Amitabh Nambiar,male,23B0928,9.21,CL,"[90, 26, 81, 5, 1, 53]"
Neelam Dubey,female,23B3010,7.47,CL,"[76, 15, 88, 16, 5, 9]"
Sameer Mehta,male,23B0414,8.84,ME,"[95, 0, 82, 20, 28, 66]"
Rhea Kumar,male,23B3953,7.25,ME,"[86, 3, 61, 16, 32, 84]"
Siddharth Sood,male,23B0305,8.24,ME,"[70, 18, 62, 10, 25, 15]"
Tarun Mishra,male,23B2720,7.05,CL,"[95, 9, 72, 5, 12, 45]"
Arjun Suresh,male,23B0909,8.42,CL,"[85, 37, 71, 18, 11, 0]"
Sanjay Sen,female,23B1057,6.05,CL,"[97, 27, 87, 8, 9, 94]"
Sanjay Bose,male,23B1075,9.63,ME,"[76, 36, 60, 13, 20, 77]"
Sneha Menon,male,23B1022,8.75,ME,"[83, 9, 80, 6, 8, 67]"
Aditya Shukla,male,23B2510,9.6,ME,"[77, 39, 86, 15, 10, 9]"
Rhea Verma,male,23B0339,9.04,CL,"[91, 39, 90, 9, 31, 43]"
Siddhi Trivedi,male,23B1290,7.52,CL,"[98, 16, 98, 5, 34, 15]"
Maya Reddy,female,23B2405,7.41,CL,"[94, 23, 100, 4, 1, 26]"
Nisha Iyer,male,23B0043,7.56,ME,"[75, 32, 81, 5, 33, 95]"
Nikhil Verma,male,23B2285,6.4,ME,"[85, 1, 94, 12, 17, 97]"
Prakash Joshi,male,23B2457,9.83,ME,"[99, 32, 85, 11, 28, 18]"
Manish Ghosh,male,23B2219,9.63,CL,"[89, 37, 85, 7, 15, 70]"
Rakesh Gautam,male,23B4227,7.16,CL,"[70, 38, 97, 12, 35, 39]"
Prakash Mahajan,female,23B2435,6.69,CL,"[94, 36, 79, 7, 34, 39]"
Anita Agarwal,male,23B2267,8.26,ME,"[82, 33, 70, 5, 21, 99]"
Kabir Chakraborty,male,23B2493,9.23,ME,"[73, 40, 83, 16, 16, 63]"
Shruti Mukherjee,male,23B1288,8.92,ME,"[98, 3, 77, 14, 24, 93]"
Abhishek Raut,male,23B1012,8.75,CL,"[71, 35, 81, 14, 34, 83]"
Siddharth Nair,male,23B0662,7.41,CL,"[74, 30, 93, 5, 26, 95]"
Manisha Ranganathan,female,23B1243,7.21,CL,"[82, 8, 96, 16, 4, 75]"
Kartik Banerjee,male,23B3938,8.18,ME,"[90, 27, 93, 14, 18, 83]"
Manish Bose,male,23B0722,8.07,ME,"[86, 13, 92, 17, 27, 13]"
Nikhil Saxena,female,23B1261,8.98,ME,"[92, 29, 81, 0, 35, 51]"
Rajat Gupta,male,23B0984,9.27,CL,"[100, 16, 66, 12, 2, 64]"
Vikas Nikam,male,23B1505,6.25,CL,"[96, 30, 94, 1, 22, 8]"
Shruti Raman,female,23B0751,9.76,CL,"[86, 30, 88, 19, 17, 90]"
Anita Sinha,male,23B1542,8.35,ME,"[100, 10, 94, 3, 23, 0]"
Vivek Nair,male,23B1210,6.28,ME,"[76, 24, 96, 14, 2, 4]"
Yash Rana,male,23B2196,8.31,ME,"[79, 15, 63, 13, 21, 24]"
Nisha Deshmukh,male,23B2714,8.83,CL,"[92, 7, 75, 13, 17, 92]"
Ananya Rana,male,23B0062,6.36,CL,"[86, 9, 60, 0, 20, 63]"
Kunal Chatterjee,female,23B0642,8.46,CL,"[75, 39, 66, 7, 29, 30]"
Rohit Dutta,male,23B2401,9.77,ME,"[77, 30, 96, 11, 15, 60]"
Harsh Malhotra,male,23B2710,8.89,ME,"[88, 34, 84, 12, 21, 64]"
Aditi Saxena,male,23B0392,9.92,ME,"[99, 12, 90, 5, 20, 48]"
Ritu Mathur,male,23B1525,9.06,CL,"[94, 37, 78, 9, 28, 57]"
Aditya Reddy,male,23B0618,8.3,CL,"[84, 0, 77, 3, 23, 33]"
Rajiv Khandelwal,female,23B2477,7.15,CL,"[72, 32, 62, 2, 26, 7]"
Aditi Pande,male,23B0017,7.91,ME,"[71, 17, 86, 4, 34, 99]"
Anita Bose,male,23B0406,7.23,ME,"[99, 6, 82, 9, 35, 51]"
